term,oddsratio,pvalue,qvalue,zscore,combined_score,shared,n_shared
ACE,2.5641025641025643,0.10454586816325676,0.8582845434050761,-1.74158600955672,3.932726525678719,"['Ralstonia', 'Streptomyces', 'Bradyrhizobium', 'Agrobacterium']",4
CCR1,4.048582995951417,0.24078343452279985,0.9354909268771016,-2.699090245757684,3.8431195155693074,['Streptomyces'],1
CASP7,3.663003663003663,0.2611935117887198,0.9764385353496909,-2.7977248400893617,3.7559280334262723,['Streptomyces'],1
CASP1,2.331002331002331,0.2423494304960395,0.935920022876597,-2.5641681226073247,3.6343869379305325,"['Gardnerella', 'Streptomyces']",2
CXCR6,6.410256410256411,0.1644538319574086,0.8739158177571381,-1.9903654886156557,3.5928593086598593,['Gardnerella'],1
AFP,6.993006993006993,0.15289489287365052,0.8738792543800648,-1.8565584312148626,3.48662521522457,['Gardnerella'],1
PKM,13.986013986013987,0.014187623870540834,0.8582845434050761,-0.8023011954522453,3.41410067544365,"['Streptomyces', 'Bradyrhizobium']",2
CYP2B6,15.384615384615385,0.07984310137714944,0.8582845434050761,-1.3438547061970891,3.3968505250478196,['Agrobacterium'],1
BAX,4.8076923076923075,0.20902739048369404,0.9020443763826529,-2.1191884537217462,3.3171444537375545,['Agrobacterium'],1
RHOD,9.615384615384615,0.11717817699887885,0.8582845434050761,-1.542591477337781,3.307408100199884,['Streptomyces'],1
EIF4E,15.384615384615385,0.07984310137714944,0.8582845434050761,-1.2882532521040044,3.2563071853113454,['Agrobacterium'],1
ARG2,5.4945054945054945,0.1870678603935078,0.9003279711441625,-1.935179215554847,3.2439096429608543,['Agrobacterium'],1
RHOG,15.384615384615385,0.07984310137714944,0.8582845434050761,-1.2722350439511583,3.2158180918673844,['Streptomyces'],1
MX1,8.547008547008547,0.032166517611039835,0.8582845434050761,-0.9257118945268672,3.181513663574392,"['Streptomyces', 'Agrobacterium']",2
BMP2,4.273504273504273,0.23035258867772176,0.9114874739678468,-2.1446715418287106,3.1486869770441444,['Gardnerella'],1
ADH4,12.820512820512821,0.09247270586801282,0.8582845434050761,-1.3190566852606824,3.1404652264936606,['Agrobacterium'],1
POLI,7.326007326007326,0.04154833961779617,0.8582845434050761,-0.946835016978893,3.011785346291633,"['Bradyrhizobium', 'Agrobacterium']",2
NAGK,9.049773755656108,0.029246290630727038,0.8582845434050761,-0.8178994347641604,2.8888228723733596,"['Ralstonia', 'Streptomyces']",2
PIRT,13.986013986013987,0.014187623870540834,0.8582845434050761,-0.6695253794895419,2.8490884262654306,"['Ralstonia', 'Streptomyces']",2
RAD52,6.410256410256411,0.1644538319574086,0.8739158177571381,-1.5622853663531575,2.8201210046045557,['Agrobacterium'],1
