term,oddsratio,pvalue,qvalue,zscore,combined_score,shared,n_shared
IL4,5.172413793103448,0.002792249726780804,0.02805338397375089,-0.7884219763526524,4.636636835623545,"['Aggregatibacter', 'Streptococcus', 'Prevotella', 'Haemophilus', 'Porphyromonas', 'Neisseria']",6
RETN,6.896551724137931,0.047054187999024985,0.16443392871398405,-1.5098099893949062,4.614666902976063,"['Haemophilus', 'Porphyromonas']",2
HSPA5,4.310344827586207,0.232783689057193,0.45426376954104736,-3.1550438561900616,4.59893588869797,['Haemophilus'],1
CASP7,4.926108374384237,0.03344173472972876,0.13232637188440363,-1.349954526604828,4.587078815548724,"['Campylobacter', 'Porphyromonas', 'Aggregatibacter']",3
RIPK1,5.305039787798409,0.07047641200679407,0.21734452239984933,-1.7279474217788007,4.58334115049344,"['Streptococcus', 'Porphyromonas']",2
PTGS2,3.9408866995073892,0.0030645764394985095,0.030165174464333252,-0.7839422698894462,4.537337061869185,"['Campylobacter', 'Aggregatibacter', 'Fusobacterium', 'Streptococcus', 'Prevotella', 'Haemophilus', 'Porphyromonas', 'Neisseria']",8
CCL7,6.896551724137931,0.015497499598714387,0.0877964074182674,-1.0535921045022303,4.390398988055397,"['Streptococcus', 'Haemophilus', 'Porphyromonas']",3
CLPB,2.2988505747126435,0.0917433910983743,0.2669276039649533,-1.826310459800923,4.362617056664037,"['Campylobacter', 'Fusobacterium', 'Streptococcus', 'Prevotella', 'Porphyromonas']",5
CLPP,3.134796238244514,0.0347169904233596,0.13611600513548916,-1.2906150187331071,4.33714542233822,"['Campylobacter', 'Streptococcus', 'Haemophilus', 'Porphyromonas', 'Neisseria']",5
IPP,2.2611644997173546,0.1270957213833235,0.3390977130683694,-2.0903102550608867,4.311922857030876,"['Streptococcus', 'Shewanella', 'Haemophilus', 'Neisseria']",4
IRF1,5.172413793103448,0.029944328939579812,0.12667239150098566,-1.2287375518589412,4.31092165523399,"['Streptococcus', 'Porphyromonas', 'Fusobacterium']",3
CFI,7.389162561576355,0.013220649326440253,0.0790779303897775,-0.9894702255475097,4.2804237842883,"['Streptococcus', 'Shewanella', 'Fusobacterium']",3
KLF4,4.497751124437781,0.04102924961011836,0.15075318571032062,-1.3390702117811053,4.27628063157674,"['Streptococcus', 'Porphyromonas', 'Fusobacterium']",3
GADD45B,6.896551724137931,0.16215108952713952,0.3819163024393799,-2.333652452487154,4.245442913086135,['Fusobacterium'],1
IRF4,11.494252873563218,0.0011505516902525885,0.01920519754954682,-0.6198953727357819,4.195150440565454,"['Streptococcus', 'Campylobacter', 'Porphyromonas', 'Aggregatibacter']",4
KLF2,6.896551724137931,0.047054187999024985,0.16443392871398405,-1.3724492928456131,4.194830059540021,"['Streptococcus', 'Aggregatibacter']",2
EEF2,4.926108374384237,0.20994987027923667,0.4285643383795212,-2.683204391921377,4.188177484499817,['Streptococcus'],1
RIPK3,4.597701149425287,0.08771634417185933,0.2557896113492315,-1.6930195860092943,4.120212091300677,"['Streptococcus', 'Porphyromonas']",2
TLR9,5.005561735261401,0.00041908826678763785,0.010567598256645144,-0.528797214961313,4.112682794567366,"['Campylobacter', 'Aggregatibacter', 'Fusobacterium', 'Peptostreptococcus', 'Streptococcus', 'Prevotella', 'Haemophilus', 'Porphyromonas', 'Neisseria']",9
BACE1,4.597701149425287,0.08771634417185933,0.2557896113492315,-1.6533963310202042,4.02378307438212,"['Porphyromonas', 'Neisseria']",2
CREB1,8.113590263691684,0.003323496889843607,0.031426595590727045,-0.7022405651214764,4.007502756808963,"['Campylobacter', 'Porphyromonas', 'Aggregatibacter', 'Neisseria']",4
CDKN1A,5.305039787798409,0.012090427102843979,0.07368857466472681,-0.9059161403899242,3.9999289381545022,"['Streptococcus', 'Porphyromonas', 'Aggregatibacter', 'Neisseria']",4
APEX1,5.305039787798409,0.07047641200679407,0.21734452239984933,-1.5060167838262501,3.994675191875285,"['Streptococcus', 'Campylobacter']",2
FN1,5.747126436781609,0.1864131236142142,0.4042618498615168,-2.374792605878643,3.989152808623583,['Porphyromonas'],1
BMI1,8.620689655172415,0.009272083059353729,0.06178185914160049,-0.8419201978275515,3.9408156211501515,"['Peptostreptococcus', 'Porphyromonas', 'Fusobacterium']",3
CXCL5,3.8314176245210727,0.05848438111810093,0.1928484977381482,-1.3845193039884525,3.930644142672131,"['Streptococcus', 'Haemophilus', 'Porphyromonas']",3
CARS,5.305039787798409,0.07047641200679407,0.21734452239984933,-1.4808117439369164,3.9278193980770637,"['Streptococcus', 'Peptostreptococcus']",2
SERPINE1,9.404388714733543,0.00018881425291163333,0.00859580713538423,-0.4501389893193354,3.859827864966789,"['Veillonella', 'Aggregatibacter', 'Streptococcus', 'Prevotella', 'Porphyromonas', 'Neisseria']",6
TNF,2.8149190710767065,0.002028835118478283,0.02371892693057338,-0.6209923977197483,3.850335117130516,"['Veillonella', 'Shewanella', 'Campylobacter', 'Aggregatibacter', 'Fusobacterium', 'Peptostreptococcus', 'Streptococcus', 'Leptotrichia', 'Prevotella', 'Dialister', 'Mannheimia', 'Haemophilus', 'Plesiomonas', 'Gemella', 'Porphyromonas', 'Neisseria']",16
CXCL1,4.811547714514836,0.003828195198218402,0.03466942975287933,-0.6894311222522606,3.8369336414909117,"['Campylobacter', 'Aggregatibacter', 'Fusobacterium', 'Streptococcus', 'Haemophilus', 'Porphyromonas']",6
GP6,2.5231286795626575,0.13969022093019395,0.36963297143257084,-1.9458842646182255,3.8301385132976313,"['Streptococcus', 'Campylobacter', 'Neisseria']",3
MUC7,6.269592476489028,0.054498545594214375,0.1815676933527453,-1.3160779533881903,3.8292357551597953,"['Porphyromonas', 'Fusobacterium']",2
GALP,3.629764065335753,0.036575538430167136,0.1425337649127119,-1.1547753945658448,3.820430751474524,"['Streptococcus', 'Campylobacter', 'Haemophilus', 'Neisseria']",4
LPO,13.793103448275861,0.016578885004772507,0.0899596882537445,-0.9216569776505135,3.778448338102869,"['Mannheimia', 'Bibersteinia']",2
SIRT1,6.157635467980295,0.003096269851704502,0.030165174464333252,-0.6443119210603699,3.722548956435882,"['Veillonella', 'Fusobacterium', 'Streptococcus', 'Haemophilus', 'Porphyromonas']",5
ASPA,5.305039787798409,0.07047641200679407,0.21734452239984933,-1.3987468404677754,3.710144112162296,"['Campylobacter', 'Neisseria']",2
ARSI,4.310344827586207,0.09674369974356732,0.2746410549011646,-1.5811546617228476,3.693087239551033,"['Streptococcus', 'Shewanella']",2
HSPA1A,7.662835249042145,0.040013987771686736,0.14872250946355245,-1.127925265973603,3.630257010821679,"['Porphyromonas', 'Fusobacterium']",2
BCL6,8.620689655172415,0.033410826733243734,0.13232637188440363,-1.053373143599454,3.5802839361165817,"['Haemophilus', 'Porphyromonas']",2
AGA,3.4482758620689653,0.13502331567643833,0.35802058548432925,-1.7870208864802342,3.5781658718099942,"['Streptococcus', 'Shewanella']",2
EIF4E,6.896551724137931,0.16215108952713952,0.3819163024393799,-1.9520576447475033,3.5512354399629777,['Porphyromonas'],1
GAL,8.620689655172415,0.033410826733243734,0.13232637188440363,-1.0388076999769136,3.530777809877215,"['Porphyromonas', 'Fusobacterium']",2
MUC4,4.137931034482759,0.04938661935520405,0.1707290120720226,-1.1685473077259763,3.5150788246294002,"['Streptococcus', 'Campylobacter', 'Neisseria']",3
LGALS9,9.852216748768473,0.027279320054658496,0.11693735196763609,-0.974821390465989,3.5109424269172984,"['Streptococcus', 'Porphyromonas']",2
GALE,4.926108374384237,0.0034560366726250355,0.03244133694157515,-0.618170305733198,3.5035623111476433,"['Veillonella', 'Campylobacter', 'Streptococcus', 'Haemophilus', 'Porphyromonas', 'Neisseria']",6
FASN,4.926108374384237,0.20994987027923667,0.4285643383795212,-2.18269489322786,3.406938970013999,['Porphyromonas'],1
CXCL8,7.662835249042145,1.0100265742562006e-05,0.0021648236241557897,-0.2956175650143357,3.400473721633915,"['Veillonella', 'Campylobacter', 'Aggregatibacter', 'Fusobacterium', 'Streptococcus', 'Prevotella', 'Mannheimia', 'Haemophilus', 'Porphyromonas', 'Neisseria']",10
SLC11A1,4.926108374384237,0.03344173472972876,0.13232637188440363,-0.9982879459644266,3.3921331411569433,"['Streptococcus', 'Campylobacter', 'Haemophilus']",3
CSF3,3.8314176245210727,0.25493622931525195,0.4765232425863576,-2.474410377451711,3.381880207574051,['Porphyromonas'],1
LAMP1,5.517241379310345,0.010747444223449884,0.06808479444018005,-0.7451400808625802,3.377785036780269,"['Streptococcus', 'Haemophilus', 'Porphyromonas', 'Neisseria']",4
GALM,7.662835249042145,0.040013987771686736,0.14872250946355245,-1.0434421920151338,3.3583460245306096,"['Streptococcus', 'Neisseria']",2
IL17A,5.997001499250374,0.0002838985352473013,0.00884383277794821,-0.4097587513440042,3.3464561459793987,"['Campylobacter', 'Aggregatibacter', 'Fusobacterium', 'Streptococcus', 'Prevotella', 'Haemophilus', 'Porphyromonas', 'Neisseria']",8
FGFR1,4.926108374384237,0.20994987027923667,0.4285643383795212,-2.137486037531649,3.336373077942211,['Porphyromonas'],1
FMR1,6.896551724137931,0.16215108952713952,0.3819163024393799,-1.831601262794288,3.33209797047636,['Haemophilus'],1
EEA1,3.134796238244514,0.15517530217652956,0.3819163024393799,-1.7838953034588731,3.3237534071562216,"['Campylobacter', 'Porphyromonas']",2
CYLD,5.747126436781609,0.062315834813865226,0.2003454089265767,-1.192635576230917,3.310207407490987,"['Streptococcus', 'Haemophilus']",2
MN1,3.629764065335753,0.12517099000352394,0.3346567425042241,-1.5901216642871112,3.304391372138491,"['Streptococcus', 'Neisseria']",2
IRGM,6.896551724137931,0.047054187999024985,0.16443392871398405,-1.073729760738703,3.2818071309801713,"['Streptococcus', 'Fusobacterium']",2
HCK,7.389162561576355,0.013220649326440253,0.0790779303897775,-0.7536946169973288,3.2604643185703654,"['Streptococcus', 'Haemophilus', 'Neisseria']",3
HLA-G,3.8314176245210727,0.25493622931525195,0.4765232425863576,-2.3671050963830327,3.235221589617533,['Haemophilus'],1
CCL17,5.44464609800363,0.026647733277187825,0.11693735196763609,-0.883003523118005,3.2009329698272277,"['Streptococcus', 'Aggregatibacter', 'Neisseria']",3
CXCL14,3.8314176245210727,0.25493622931525195,0.4765232425863576,-2.3275368780557892,3.181142049849484,['Porphyromonas'],1
KRAS,4.056795131845842,0.10601021740711025,0.2938128008309133,-1.4101129864075204,3.16460348275671,"['Haemophilus', 'Fusobacterium']",2
FGF2,4.597701149425287,0.018496353127414975,0.09829053769361841,-0.7800731261196604,3.1126335082749232,"['Streptococcus', 'Porphyromonas', 'Haemophilus', 'Aggregatibacter']",4
CD44,4.0096230954290295,0.014918519261029748,0.08681093108454414,-0.7361537166875702,3.0956382257231003,"['Fusobacterium', 'Streptococcus', 'Haemophilus', 'Porphyromonas', 'Neisseria']",5
