cell_type,MK-10,MK-12,MK-13,MK-14,MK-16,MK-17,MK-18,MK-19,MK-20,MK-22,MK-23,MK-24,MK-26,MK-27,MK-29,MK-3,MK-30,MK-31,MK-32,MK-33,MK-34,MK-35,MK-36,MK-37,MK-39,MK-4,MK-40,MK-42,MK-43,MK-45,MK-46,MK-47,MK-5,MK-50,MK-51,MK-52,MK-53,MK-54,MK-6,MK-7,MK-8,MK-9,MK-A,MK-B-0002,MK-B-0003,MK-B-0004,MK-B-0005,MK-B-0007,MK-B-0008,MK-B-0012,MK-B-0019,MK-B-0021,MK-B-0022,MK-B-0024,MK-B-013,MK-B-014,MK-B-016,MK-B-018,MK-B6A,MK-B6C,MK-EOG-001,MK-EOG-004,MK-EOG-005,MK-EOG-009,MK-EOG-012,MK-EOG-015
T cell CD4+ memory_XCELL,0.0438956004542143,4.12733982508122e-21,0,0.0603297089899033,0.208610420800086,0.323572169991693,0.039908634423795,0,0.00134705323097989,7.60737967287384e-19,0.158939921811931,0,0.0102019309454928,0.0102239837183333,2.95649699332694e-19,0,1.14444705589558e-19,0.0028916873736592,3.62736512127013e-20,2.70239774757859e-18,0.256124599280964,1.10037950938664e-19,0.0116203638814395,0.0372613993130029,6.52892819505391e-19,0.138900161903448,0.109019853224922,0,0.0203188702733221,0.108656987329327,0.0190987805158406,0.04174610571967,0.0172925046934768,3.77139624811925e-19,0.00909343589383295,0,0.00636865801728511,0.0168552949884722,0.0760811318275622,0.00951569311959584,0.129252428673529,0,0.00875105371265312,0.00896234968746756,4.47391631370389e-19,0,0.00542536670138443,0,1.15108685206124e-18,0.00169772923522539,0.0884201953623722,0.00106858733625663,0.0473291673815752,0.0695007658163373,0.0693820093889256,0.0221755970394937,0.0781533792785496,0.0145490325515387,0.165105691821488,0.0880056152899515,0.0488474481504969,0,0.304021712771778,9.15207246188386e-19,0.025297207495,0.00488049179797781
T cell CD4+ naive_XCELL,0,0,1.83664392127421e-18,2.66415225524608e-18,0.0255344276317574,0.170000623091715,0,6.28959717551865e-18,4.83833307651897e-18,1.02413119261373e-17,0.0443078175245741,9.85671016699864e-20,1.57860367041999e-19,1.33623371667927e-19,8.36115528013284e-18,3.54228416473989e-18,0,4.76687394530192e-20,0,0,0.08534108055846,6.32065284454692e-18,0,0.00379876182791333,0,0.0133479419520717,0,3.45613054914133e-19,0,0.0869036227836796,1.88104965191179e-19,0.0183806713231104,0,0,0.0483997504266815,1.02738967576721e-18,4.46922602474654e-19,0,0,3.91598431839615e-18,0.0509788490229932,0,0,9.10279862332875e-19,2.7769608220718e-18,3.70416935473795e-18,0,0,0,0,0.0174487603970538,5.45804759172756e-18,1.51872599377689e-18,0.0128909530151318,0.00599190482276662,2.8776924612135e-19,0.00149984964617153,2.23108918059248e-18,0.11239075520403,0.00309506665892534,0,0,0.192913868739848,2.06354591865658e-18,3.50062322232089e-19,6.70767886529362e-19
T cell CD4+ (non-regulatory)_XCELL,3.09723630524447e-18,0,6.05634848437326e-18,0.000307675620680679,0.0503037395600894,0.123012022838258,0,1.1164451156851e-17,0,0,0.0521265895817332,0,8.70354534589201e-18,6.69184633805303e-18,0,0,2.47588378841378e-17,3.63329807327934e-20,4.46469160170805e-19,0,0.0818497960409753,0,0,0,0,0.0290065260994172,0.0222618545801269,0,0,0.0479167907997753,0,0.00765888410959688,2.82753772344812e-18,0,1.69122969681916e-18,0,1.37182356472035e-17,0,5.91660580505915e-23,0,0.0173440889149946,0,0,1.50885010284828e-18,1.32967456497423e-17,0,0,0,7.59613316741016e-18,1.24800182410672e-17,0.000860225136329265,0,0,0.00156581759215128,0,0,0.010390722761092,1.2098038864649e-18,0.051831214586462,4.90303978505223e-18,0,4.94858619891725e-18,0.120599559075009,0,0,0
T cell CD4+ central memory_XCELL,1.2087681164064e-19,0,8.79844173673236e-18,1.16761352374877e-19,1.99461012160264e-18,0.00112770122362677,4.93337604290828e-18,0,1.05024593961363e-18,0,9.59892343311813e-18,2.10990373139812e-18,3.13589219144604e-18,4.03526521083952e-19,0,0,0,4.02642280054178e-18,2.05370932057146e-18,0,3.05478635113907e-18,6.70363521106937e-18,8.97703323088479e-20,1.19234785107878e-18,0,0,6.66932739286181e-18,0,2.19350282412208e-20,0.0138962856764738,1.36775423593644e-18,6.37763272088037e-19,5.38409813909888e-18,5.14139546260906e-18,0,0.00521113192895452,1.65029742694715e-17,0,4.63319506559259e-18,6.62636275891306e-18,0,0,0,0,9.98409785471742e-18,6.17737044442627e-18,1.26373629768391e-18,5.87452278367183e-18,0,0,0,0,1.65640574956897e-17,1.9394957995959e-18,0,1.07306714162392e-17,0,0,9.59432073503789e-19,2.22095473564071e-18,1.23400023339238e-17,9.22634557989547e-18,0,1.08151132463369e-18,0,4.60471459178757e-18
T cell CD4+ effector memory_XCELL,0.0256052713837324,1.00734039538535e-17,1.01318729314491e-18,0,0.0316705975673901,0.159288857644532,0.0541279588072517,3.42886373395874e-18,1.06898311192066e-18,1.04495184574003e-17,0.132065563307495,0,0,0,6.57173566575178e-18,0,2.46460360552004e-17,0.018140751381385,0.00906638619147927,0.057993946613396,0.111272864533414,7.32010641238277e-18,0.0493729852389262,0.0498256828649573,0,0.125139600228505,0.0516168726805327,0.00618180795096713,0.0165197079652585,0.0946911381852297,0.039794024928018,0.0280181616929271,0.000490519659283036,0,0.036222618592411,0.00194008972245317,5.14011385129653e-18,0,0.0381890344165354,0,0.0336660515108901,4.51021779375258e-18,0.00112526983273969,0.017802106521489,0,1.14849902226569e-17,0,0,0,3.75974981931754e-18,0.00311185145095256,0,0.0167521151901456,0.092217554155719,0.0933484556257028,0,0.0528570266404538,8.20867963685214e-19,0.054592075333071,0.188618414340141,0.038415587051442,0,0.140696500067602,0,0.0577666516854476,8.75016381051041e-19
T cell CD8+ naive_XCELL,0.00828552361253275,0.000188889381840334,0,0.00427009185816231,0.00346231818337454,0.00157490889898086,0.000810096652266596,6.47737639660588e-19,0.00818809562211391,0,0.000844405441943095,0.00224076513756903,0.00263466189639205,0,7.0888348659811e-19,0.000855616170833249,2.88721903430896e-20,0,7.84702809377646e-19,3.84322791677679e-19,0.00354595706313979,0.000658853284711159,2.57640569834815e-20,0,0,0.0190081780490377,0,3.44970550540729e-19,0.0106487312404531,6.58034533075962e-19,2.47600843210549e-20,0.00581273145657225,6.72181114349441e-20,0,0,6.53836922641016e-18,0.0133803755339304,0,0.00214648794963064,0.0113993540534249,0.0205776156517287,1.58052402231507e-19,0.00801469727174729,0,1.35414220032586e-19,0.00080339037328022,0.00352190973749084,1.71148213967804e-19,0,0,6.93439460510922e-19,0.00526251893869126,2.33271533465752e-21,4.38057473062176e-19,0,0,0.0091828522247958,0.00183688303900349,0.018943811562707,0.0134364432210054,9.62882958385284e-20,1.28652076822229e-20,1.73192822568131e-19,0,3.71809009629975e-20,0.00462648409622744
T cell CD8+_XCELL,1.32793871754248e-18,6.73512525739856e-18,7.34681686573223e-18,0.0867205147235325,0.183147358822318,0.365435221191041,0.094776289841933,2.727490765238e-20,3.63531226588608e-19,0,0.213096290372517,1.10286338899057e-17,0,0,0,6.16458876228994e-19,5.65826575431213e-19,0,0.0101015194688566,0,0.237251576708061,1.86046650194799e-18,0.0230749126586844,0.0550625588675294,1.89451480570287e-19,0.123195120808759,0.0426626285535211,0.0172800201077295,0.0495225554275217,0.0829483797100936,0.0260220645117213,0.0232151666555386,0,1.08898506336936e-17,0.0748939494227645,0.0124739505091083,0.0479929845722055,0,0.0520776534420086,0.0201368778709066,0.162678096200197,8.81497976278032e-21,0.035567134872174,0,1.39663190952541e-19,0,0,2.57912305822894e-19,1.67726619773812e-18,0,0.100660752863955,0,0.0467608319940104,0.0180913727936659,1.23346607806965e-18,0.0274995255656048,0.106756075640387,0,0.190340504222905,0.0314512391955506,0,4.77819752961196e-18,0.306677250480581,1.38175257338661e-17,0.0387987954071325,0
T cell CD8+ central memory_XCELL,0.0111497262783816,0,2.65911411677695e-18,0.053411569905824,0.171312560042601,0.339987495174103,0.0846896379807494,0,2.02379052505485e-18,8.83390711569193e-19,0.210253962626382,6.06583260335546e-18,2.13047640275821e-20,0,0,5.84638720258692e-21,0,8.90218325756057e-19,7.53743351253226e-18,2.592409394395e-17,0.345557314532,4.38269582071557e-18,0.0113907104873697,0.0194602629665634,1.24437392746886e-17,0.142366979690498,0.0860358135719213,5.2321202201009e-18,0.0254411749093725,0.106911022698825,0.0296805224895459,0.0285941591533422,0.00382351189006943,0,0.0360774761393424,0,0.0161602795279125,1.63077191365207e-18,0.0784014926306022,4.47640288855392e-20,0.149133718540831,0,0.000393535029358563,0.00527696146200652,1.76024851410363e-18,1.6093110357446e-18,1.6060541512235e-19,2.02100646540567e-18,9.37191133072815e-18,0,0.161448561617731,9.29870508249426e-19,0.0454423803372334,0.0486293861212748,2.13257774301826e-20,0.0334396948003925,0.0998737802463297,0.00807829628096383,0.208949434681398,0.080349816714463,0.0299432181919074,0,0.389293548540482,4.75150677107808e-19,0.04938321273767,3.1121170272597e-20
T cell CD8+ effector memory_XCELL,7.93250307183257e-18,5.76721908022474e-18,0,1.25428107662911e-18,0.0670693154833787,0.129911006801997,1.33240404462953e-18,7.94745165966278e-18,0,2.76653790121975e-18,0.040818909266439,0,0,0,0,0,0,2.98554324768651e-20,5.3978869032799e-18,6.39171374262033e-18,0.106122222748698,0,0,0,1.42965755916005e-17,0.0155155828800924,0.0161764313308319,9.6852373003688e-18,0,0.0436114339333665,0,7.22922130105169e-19,0,0,9.48719394854049e-19,0,0,8.6016030462678e-18,1.99540428146854e-20,1.08403987700896e-17,0.0113557149249144,0,1.88796448069987e-18,0,0,0,1.54143613597569e-17,6.85361138043025e-18,5.22325413238994e-18,0,0.0665050499095984,0,9.30734844783199e-19,0.0055414852936959,0,0,0.00822473738513625,0,0.065239862562892,0,0,0,0.137548017568602,2.89105326863635e-17,5.41733213937096e-19,0
Class-switched memory B cell_XCELL,0.00792234919073897,0,0,0.00326477486495683,0.0574244207692708,0.099520988172204,0.0178206775367734,0,0,0,0.0827936670440384,1.11847449046924e-17,0,0,0,0,0,0.00179987000037736,0.00253288957889835,0.00828763037628443,0.0500583935192774,0,0.0149764741007718,0.0154105856990879,5.36393973440628e-18,0.0640676375603306,0.0313799083295316,7.15483005994105e-19,0.00218028178883437,0.0535533245026486,0.00636596534810066,0.0125163467558363,0.00572050534551125,7.69489071597419e-19,0.0387493885743672,1.08372946749847e-18,0,0.00352323012348566,0.0269289322922427,0,0.0309264714015846,7.10169010317739e-18,0.00487950240467552,0.00474575616686939,0,1.91352816484275e-18,0,0.000971580842680689,1.12982082886506e-17,1.06235828608527e-17,0.0528646335010522,0,1.09613468067383e-19,0.0382697096622544,0.0615680116539487,1.08808400024698e-18,0.0291660253296059,0,0.0779874941004643,0.0683512274789982,0.00419273604671297,3.51886968059163e-18,0.163238776681297,0,0.0103168759374893,0
Common lymphoid progenitor_XCELL,0.120425988484353,0.0720284856129385,0.0490968261605829,0.0529236382620935,0.0874759218099145,0.0231031256412223,0.0557420975104835,0.0667382031895653,0.0547492741610612,0.021259436941533,0.0779423466329358,0.0574066893481549,0.0808483421157586,0.051337803818745,0.068385314962196,0.0558104766860601,0.0698675509304946,0.0393236563941689,0.0356316090136487,0,0.0343742614700067,0.0687350720866632,0.0664002408427989,0.0278707170781563,0.0255830876710328,0.034842903152235,0.0880733127393089,0.0829934648207741,0.0679687080258209,0.0729806493582129,0.0761690897001904,0.0722452603618308,0.0933451403002891,0.0494765178097751,0.0161836633364623,0.019091998739093,0.0228372657041506,0.0215401156703339,0.0716367039995073,0.0890280304024169,0.0399417219763363,0.0609821899971754,0.0506813747569008,0.0777889222268725,0.0613232255240205,0.0381994462613656,0.0964819496287199,0.0387365715410739,0.0573820201824495,0.12499240714519,0.0448978950192126,0.0852988905606065,0.0301833588668039,0.0440390672083719,0.017264335583208,0.042296760982226,0.0601555702877244,0.0522901060136309,0.017751086477693,0.0647763302121239,0.0926376123072446,0.0297504359808571,0.0103637565083369,0.079341451102025,0.0486002413902163,0.045000604494155
Common myeloid progenitor_XCELL,0,3.07760854165502e-18,3.51480391356731e-18,3.74495397425973e-18,0,1.20701411109951e-18,3.25668006374398e-18,0,3.0792719412285e-18,9.13311520674181e-21,0,3.93305005335517e-18,3.60076407124643e-19,0,3.88807180500654e-18,0,0,0,0,2.09092358335526e-20,0,0,3.44307812906864e-18,0,0,7.39436012962533e-18,0,1.19461798962564e-18,0,1.61839029559668e-18,0,0,0,1.86644275732967e-18,8.68549140527188e-19,0,0,0,0,0,0,0,5.12858890547567e-18,0,0,0,0,2.75437815815099e-18,0,8.09991731539629e-18,0,0,0,4.62453735414399e-18,0,0.00293705388954863,1.24480944207444e-18,1.45180566542997e-18,9.1025671621003e-19,0.0116330588630622,0,0.000316271945992792,0,0.00801662937565931,0,0
Myeloid dendritic cell_XCELL,0.0569890773509693,0,1.13341228113839e-18,0.0609339713686163,0.0737246027406483,0.189184156823424,0.0282730380874034,5.74702278467051e-20,0.000159432570434493,1.1871589745162e-19,0.18409766315816,1.45960579399837e-18,0.00484644893780066,0.0164568850940796,0.0105826654447927,0.000951320303394979,6.28077240293708e-22,0.0180514338412378,0.00972495667160394,2.03689829167879e-18,0.132013145209122,0.000570390008382742,0.0225906959064859,0.0132057253472017,2.1410593609895e-18,0.108855020946113,0.0571680733395651,0,0.00778978178228908,0.0574961192053199,0.0116117409068187,0.0313936695064755,0.0055470783540938,1.75915506444218e-19,0.0179178863670369,0,0.00591727273853417,0.0339368909479526,0.0617187909219386,0.000758008341209434,0.127441143955915,0.0355234960922578,0.0408320013771354,0.018224425199011,0,0,0.0337132427734019,0.0479097946058786,0.00372942993151887,0,0.0528217300641066,0.0003764716355309,0.0518469143949783,0.0813243074351247,0.136577239405998,0.0594056167577745,0.11062325318761,0.0495854383709041,0.101451876985911,0.0390902481131604,0.0113994175346624,0.00247552728910602,0.0950504595056892,3.62574197829774e-22,0.0418741239657563,0.0130732680843379
Endothelial cell_XCELL,0.0178569157646466,0.0678687034426005,0.0785114344239538,0.0621007571878581,0.0301765101995974,0.0292419266341164,0.00358428599345104,0,0.0268297398471527,0.201479694042069,0.0133491944392615,0.081492094356876,0.0253603694272713,0.0686981804263502,0.0930957492010989,0.0776955549880519,0.127862987007023,0.0138046718115159,0.0640768542056404,0.057471398179943,0.124922178501802,0.0929814270217953,0.0405200345517788,0.062131733510735,0.121084737098473,0.0625896880474009,0.0431992828738225,0.0284659900986195,0.0104133564088057,0.00309471876755376,0.0576652087268604,0.0694496349552259,0.0355688834945893,0.0402807641834246,0.0651952020780745,0.089410744358712,0.140439305234096,0.107247463939694,0.0408334326454792,0.0317031355426745,0.0285204390143189,0.0971572229551282,0.0625987344005644,0.0255164591914301,0.126603574773899,0.13318541921678,0.0374026643502622,0.224153711398861,0.285976227570594,0.0372854702423463,0.017404951659096,0.0763987790877684,0.104144922160641,0.115500310615627,0.0808416020678013,0.152960581520331,0.064556170610011,0.0462265850879017,0.132741461669821,0,0.00355445069153318,0.0857476398120346,0.0880634793324992,0.213597478936038,0.0176307152762535,0.0655587813609733
Eosinophil_XCELL,9.1482928192235e-19,0,1.24929301274685e-18,1.88350036910146e-18,0,1.02877084683674e-18,0,0,0,1.44511795196916e-18,1.50359058674726e-19,8.87984931363811e-19,0,1.08700173418181e-19,8.11011161058812e-18,1.70912546186823e-18,0,0,1.33451277940389e-19,0,3.34039725554168e-20,0,0,0,0,0,0,1.78563586141031e-18,0,2.72611469308825e-18,1.12382251385159e-18,0,3.16851613443758e-18,3.40498137596157e-18,8.85411679048096e-19,9.1058733731281e-19,5.38042067201299e-19,0,1.30061902391278e-18,3.35337645121085e-19,2.54895752375095e-18,3.51974357514241e-19,5.45893256099512e-19,0,0,1.45472297146814e-17,2.05755641721973e-18,0,8.02854847291223e-18,1.3527232355353e-18,0,1.04497284889036e-18,0,4.84668315455265e-19,0,0,2.61925728156302e-18,1.07588329216782e-18,0,4.49764753831051e-18,3.10898125763635e-18,2.60153366043904e-20,2.6856075848444e-18,0,0,0
