	MK.1	MK.10	MK.11	MK.12	MK.13	MK.14	MK.15	MK.16	MK.17	MK.18	MK.19	MK.20	MK.21	MK.22	MK.23	MK.24	MK.25	MK.26	MK.27	MK.28	MK.29	MK.3	MK.30	MK.31	MK.32	MK.33	MK.34	MK.35	MK.36	MK.37	MK.39	MK.4	MK.40	MK.41	MK.42	MK.43	MK.45	MK.46	MK.47	MK.48	MK.49	MK.5	MK.50	MK.51	MK.52	MK.53	MK.54	MK.55	MK.6	MK.7	MK.8	MK.9	MK.A	MK.B.0002	MK.B.0003	MK.B.0004	MK.B.0005	MK.B.0007	MK.B.0008	MK.B.0012	MK.B.0019	MK.B.0021	MK.B.0022	MK.B.0024	MK.B.013	MK.B.014	MK.B.016	MK.B.018	MK.B	MK.B6A	MK.B6C	MK.EOG.001	MK.EOG.004	MK.EOG.005	MK.EOG.009	MK.EOG.012	MK.EOG.015
MPP	722.371207167493	651.485885754053	903.083558850206	239.162342603253	282.872029116613	843.585515167473	1323.09879151894	1146.82782588517	1735.69661562248	780.81358767746	286.73734641886	297.721862416512	2497.85710686362	448.281102261469	1790.67726654009	271.602313853404	729.445685225819	362.815482976725	528.148929030234	344.668784314449	338.341926127908	483.80802867031	338.386243497139	503.03150875193	782.417751800104	563.420757992732	1364.92562827468	327.446970466747	601.025434895165	759.028492884327	230.60497917321	1268.38381346026	1174.79593317419	651.157645619639	276.294125728544	504.960087131424	1139.75866218381	702.374574153655	721.917817008813	567.927250688122	1609.2751911844	471.502970196319	308.173142389668	1305.72196628392	584.340359956721	540.012343594286	536.155650341517	314.835185362598	991.261781389722	385.682481721566	1180.69800108474	366.006156854292	807.390521777382	685.000500222512	387.701950313636	417.057486200908	720.196373859973	683.336045826953	445.478917936495	332.946871806654	1235.18850028914	332.827249259304	950.338664974992	1253.08464947192	1316.91346515118	841.320402604038	1007.22980038523	618.887880148397	902.260790758189	1340.2822759655	1605.2623877593	656.566532187095	465.224291204496	1659.54786019495	491.89625017473	719.704037451736	515.916322106329
MSC	718.276385023586	522.313096596408	313.877880367632	514.370239537336	384.825092878403	316.274061784345	410.409264484831	966.028542213233	186.986946140316	690.59288953805	502.996979318752	423.183510132661	838.330482457056	546.722361436393	232.624900153499	498.85277426892	762.270434719739	578.76159222705	824.304489631842	239.062830391149	420.145595090805	594.291843636063	508.818052513778	784.525259330207	540.075649850856	1146.69432524566	614.108393445041	808.922911436953	441.228877930124	662.911855181458	459.418824924606	470.061604335553	569.150825362064	350.581702103649	1158.21707477979	511.267861781653	392.331869650624	936.276110127443	547.002748477785	512.710268358005	379.748027423391	819.209604381759	427.150903239252	530.714958772011	431.51097354936	516.778098188468	721.236660496937	701.707615181672	622.966158311134	461.319197245588	306.808858434578	495.439720195627	298.236247077978	706.235259678386	493.646953322011	542.417484985277	466.112914894647	673.128319452509	680.605468953702	478.516606100659	438.769630550891	614.924207585443	1119.41123055032	732.809167612336	892.623285959118	276.835830430065	371.013995698892	597.308439194445	539.1800959423	497.298715482593	775.638508324839	664.657074232818	659.283463521094	632.343182615211	862.500521213868	724.392793432201	719.864217002369
Macrophages	324.627718770068	630.241509107426	696.261352634633	407.194537843175	444.381015772812	610.357252406405	537.592868964058	1012.08630630035	1130.68888539209	569.116272984719	247.867928333409	408.548385126511	1412.45369646967	420.261934433833	1377.19504224944	332.540529413214	796.43889824306	374.549920657345	322.042451478157	371.819297532267	497.296168569054	407.237223314847	597.792120188698	699.834147916303	222.223396680521	460.457651276892	1336.35759573766	629.60294608062	349.572896719705	329.832087880256	419.04704531831	932.056198146295	768.976158254632	586.536137743623	203.935078032399	508.002933464019	643.112490175477	455.457981421937	327.84974783941	374.841011337341	757.036706932331	467.716999141047	81.6435295555845	314.962279063776	226.592157254014	492.888881777625	416.092696790748	187.291834194453	790.736629551266	396.218801409378	848.614594385785	660.289709540847	392.527014363815	407.18859318398	380.919014377869	310.138784612396	687.718966367213	500.287575217382	601.111541001174	521.614705914473	1335.77208661333	548.86507537748	885.215239963792	827.310499780779	1357.51694467644	839.46818049164	867.253496590276	730.360856336729	1550.72008620925	1118.54405329864	1015.04061386174	474.042871321737	238.176238181574	1177.79202856536	673.526614323571	598.986591497204	478.570662164313
Macrophages M1	438.85719687906	784.724823805695	846.806657175018	392.136361932648	557.669297958382	766.657324371321	763.260115696625	1251.90744931525	1418.68187783241	551.151311420809	302.664878711815	396.655632341983	2181.2924652251	523.861974692146	1566.64762537768	379.473370234988	1025.4864273363	458.087860443714	413.458637855048	518.5571043087	568.566959961529	555.177943685802	769.632763561677	538.827121151384	349.039802000364	599.787138377917	1677.3001355334	663.765702486348	430.767792317924	353.709220387134	484.681092766627	1080.5288525412	965.305643016378	615.14548961364	430.202534166326	399.873301124009	950.517066174368	703.488122669403	362.759828911587	235.269011489764	862.551627853148	507.205714730602	162.191576057205	449.219117936367	300.649232453527	464.694444321879	671.483538239049	236.983506126727	1055.80756572817	210.894591270548	1061.77910501043	823.758511815082	446.520633480762	474.796449037672	430.832072789886	335.14828788297	611.945702738894	740.584853288902	750.575649233068	578.794018351101	1622.60946600191	588.398956372604	1064.82947102605	1108.50009970181	1587.42188904102	903.488152472208	1012.97778536111	793.063637261661	1682.61654244957	1441.11159616778	927.438307449587	439.538495756442	420.563246459062	1525.10620695195	842.491744731774	727.204444744794	627.372380336006
Macrophages M2	408.38515152505	412.470541996908	489.517618585978	731.654549716078	761.749683054893	605.920464063444	653.761960718829	702.807252134902	815.00486890807	497.617137794507	509.437164955125	531.064294078622	769.072825906669	819.955454904647	884.366693479933	663.795997788597	804.182501909224	234.743657340113	407.886835937076	454.5936899965	704.411794135331	441.551676590603	832.391573436961	509.663885305493	327.532050130186	654.008760579325	972.660496559661	778.6225520405	442.409534446873	278.468481387714	859.342476255492	746.387208459931	586.12814702929	765.354926601982	388.35521606289	584.262402892382	502.42502032382	529.977121248716	354.21857052012	510.693258268471	741.25927210929	476.279044169939	288.42492557619	329.82619561616	605.508279699865	396.408923203993	526.875953777606	246.919810044935	484.15973739686	368.877142251611	531.04393733702	997.414915919111	420.527163321208	409.762171141242	716.095398856044	317.809607123406	577.127113199984	611.619516292303	1173.05199360003	773.818354255282	1032.08244127449	681.553913307766	1016.85683870508	750.541082707414	997.995229819063	782.831089759705	781.762969130541	756.609320816042	1668.30910651302	1101.45710632682	862.618136223261	309.037684506054	302.99468184344	868.681771919706	1357.96977900621	350.642994935132	911.36496519873
Mast cells	653.251495454347	571.748453951194	672.964469907157	520.17124726499	528.487077818918	561.794024700461	767.830076973884	720.503477084642	755.174526332152	571.691683375893	592.384141537922	526.193221870016	342.625189206126	616.272083292835	714.013770290513	501.454300750432	518.395483819154	605.47241445456	579.60032889146	595.714750740656	509.388099926137	564.727959435285	493.688470305618	401.319837685174	499.848168505832	0	697.854616056927	506.368892085488	464.501151098465	808.486212794382	487.063988935332	830.800079925602	640.804805674157	531.522376641426	625.811198252284	579.487611621336	635.494004013742	688.848067759633	709.782968977082	473.25757100208	660.424385241363	617.373190751286	531.67520962086	612.239767089246	357.832779356854	586.794715568571	547.790209958821	574.524790352776	562.501939252002	636.689836674312	652.415446434717	467.238379029392	681.704778675391	460.929973838655	467.519077861684	482.636909828892	513.889624058903	640.953695281251	432.300599102952	488.86840444684	606.904800379936	374.359094758227	663.443699572241	791.364347897666	783.280012968645	851.209800948609	646.291761020413	512.612729627322	437.753062366477	837.720733942775	860.153665844676	453.972787750992	475.190575959834	929.943476338665	406.982268109482	508.945151966941	438.860600886081
Megakaryocytes	1908.01087378401	1618.8647904761	1927.50033022973	1769.85861738238	1931.89769442397	1711.11664178188	2035.80271166202	1333.83212508778	1488.93730863839	1675.91483028988	1565.92929187059	1831.12196745108	2058.35915622796	2347.68185305877	1198.7117132366	2093.57778394612	2305.51883948777	1792.60454038836	1954.41916691776	1810.56381925752	2129.42726639608	1932.95250542066	2031.11356056142	1936.78058381054	1671.08252523132	1551.5226379108	2495.66751918473	1993.86329882934	1851.38717082326	1509.30044139725	1807.79343749837	1990.83862533698	1579.21916085626	1856.79804324778	1251.11410157526	1307.72955728463	1068.94392697403	1637.58069066219	2068.93241656785	1930.04999527955	1294.41624653198	1614.75719306368	1777.98116158717	2048.85120129246	1863.09152546972	1794.24770437786	2558.85091629831	1701.05918111845	1566.82568783101	1566.62331358221	1730.75739637456	1938.5041246303	1511.72797923356	1941.10429161457	2125.25308156137	1701.05196699276	1687.63187851126	2727.40277075337	2382.666727711	1644.94110096693	996.418231244244	1927.71144638389	2179.60583565854	2441.37307665284	2603.4346281868	2136.80376864211	2196.97624753973	1916.19375040493	2857.47935445109	2238.71113942504	570.776627153932	1504.30370098968	2258.74749406798	2007.00574985544	2308.65960907672	1673.47563134531	1670.56441331418
Melanocytes	1084.09356382781	742.582238455019	1021.16090281335	872.3890746359	351.087793770585	1046.16869579331	887.631268275141	1082.83930000902	1245.02054635062	1712.83177392101	1191.72903227426	637.721202644214	1172.21197625995	653.071301760205	1361.43575111568	635.961611432319	638.799864862351	1041.76359567227	716.416785620529	895.37848373184	521.815814564266	1261.94792314565	442.395172047226	1187.154394206	1335.09182057758	860.516968018518	1084.65683418722	497.433353195933	1506.9050276811	737.883595050923	1408.87263177745	1073.81655281769	1188.67786769857	698.044977134374	351.030505501767	926.065715447605	926.038892360035	902.776669811062	860.979415923798	997.043613035329	1213.0847182007	793.552455801892	1081.38337738151	1951.51111844231	764.590527959968	915.456089778606	561.02208763084	714.191652028091	933.291971594775	840.195110081018	942.433215457307	581.379629773154	627.09425601519	886.95838751499	547.988854174587	1598.78191060248	1389.77024104838	764.516875682183	578.313132957295	649.603935011092	1075.60936294078	671.249050157551	1412.06670493768	985.736789170947	1129.91401398476	753.223145237002	1001.45378489843	1145.11017157311	992.462812256781	1274.79801777525	1237.50751923596	794.590590576156	743.494288029965	1278.03243443501	564.709662510667	829.362627407863	870.516980475154
Memory B-cells	465.351719393411	355.218302064016	479.019984187515	370.805153390658	267.833504309846	494.996282712389	1905.97156617347	973.671799140406	1398.46582966847	532.416291466929	452.159914461075	261.497385027954	1527.68650581194	296.465517345274	726.453650278126	442.733073147176	411.083243256484	265.075181037925	414.097149570481	424.734978839514	352.668360407351	319.913942648218	311.980802765955	413.890022856719	418.074816055486	312.776252805632	597.485123184249	470.525572328229	386.738491694437	533.59371693223	216.933190451266	1134.6791176405	667.777861675933	320.486111910117	601.323830660907	311.213109843797	675.82903415467	475.597499163344	413.99104087972	422.549238432725	949.005257416547	589.123653395941	382.923013328778	788.036427197959	334.262038870382	400.544059676158	526.362483395119	249.882464778419	466.432466766605	415.079977402957	479.580780795406	446.840576842499	348.707301875532	375.911762446881	379.417562545771	309.693835667572	444.574030305736	348.256364084877	370.973409027792	440.851029504494	743.194207280388	326.09754357556	894.746234597105	1170.46253972838	832.420550211575	463.741423243888	674.860871855704	447.687232614461	539.026286889624	1165.67985088615	1740.86604561187	407.62107694367	490.881610153409	1675.0759887946	464.950648359472	479.780772271068	295.555033941436
Mesangial cells	1338.8700006509	964.550053869518	837.777157734669	1037.27656975766	902.013285844378	1108.99446748986	1323.41343755917	724.640270550829	901.009991178673	385.590940602405	268.707737141256	624.82897276659	1633.76644510545	1311.86876106355	950.331750543001	762.33182393711	1389.13226799359	224.143775140731	578.685398360737	803.751703489793	1188.90680959083	558.83240404211	987.357661465509	620.379635866764	498.081440117087	1324.95478709854	1325.79636060322	1090.87742315853	904.532272168768	716.198642026387	1028.8456056376	1223.47563645928	922.589511553728	1340.37023103131	661.65641370573	796.815338437269	878.615969839596	617.394953148725	1185.3812556371	634.225430894024	852.558167688677	623.049226534138	675.105722141792	865.777892234565	947.789795442839	1334.56453887761	1155.3458186511	73.9484091328934	619.446516178004	692.028468462105	868.327181137469	1074.22721236933	921.320050601332	110.798838126356	914.165282773955	921.00813308611	736.272656873346	1269.77109495403	1234.52154266741	537.327038524899	687.876650192095	604.386380488209	916.315921686119	1114.82156671922	1239.97783750698	1265.29181045021	992.013034409571	671.287564257946	1276.87465789929	1192.11321554063	452.105707773693	419.626491720517	561.477092171834	1110.97423145806	1259.23144391791	793.455798200588	779.013492990802
Monocytes	617.01050994968	869.449208025733	860.715958845683	314.320944569975	485.437137629535	638.815515398862	1209.63418664034	1197.67483592684	1382.67933435649	730.467556964359	171.84365298969	433.466091177952	2319.04182223965	609.884382816161	1084.42878143313	267.098243376201	1070.20208263487	478.446557395045	573.080526694898	494.112456625615	693.847875639728	709.206181706102	641.832209703255	944.586909349753	581.305507918828	389.390095946293	1385.58549419102	645.206549736836	451.839488783312	827.301328255353	452.808596449317	1101.20250285428	1064.10033215581	832.023301396397	743.810231509861	453.018054090927	818.551014443072	690.377162359923	565.858103609638	456.158162761275	894.862334006013	701.658433304277	234.620473246891	560.437280649658	194.365991599994	528.626719907589	739.473803357809	192.165944549815	1239.99517993061	427.307048939206	1137.76187401742	692.137127040305	576.879261110184	533.632448935589	380.027244275595	405.861738451639	740.296318746543	1301.43746293696	673.871864405065	484.729480881572	1341.066757513	485.983435604587	1128.38380827203	1291.87246761146	2937.42233835881	1062.31365136544	1422.68621298827	714.466926615122	2263.07172638562	1453.66880748236	1124.17057639242	621.153808530502	484.087318930823	1484.32549519012	602.64429195696	968.251187750635	648.132884286529
Myocytes	912.09166706372	1652.51415480296	804.482969005969	3431.05142553227	3210.49095630129	2825.11781489111	841.365990932181	752.057655176252	647.816137671462	781.732339377224	777.599909675032	3057.42077794443	1909.94088438823	3007.78061507886	748.181205261431	3218.10520734029	3091.03690515804	1279.12286673403	809.041235424682	812.867255825402	3543.49523336203	1240.14620219679	3297.00315936696	1856.10328839906	941.825078984678	2932.09635810767	1449.86338314442	3489.36928430565	999.532101640539	814.287979137667	3010.6058953469	2761.6543843933	651.99070434366	3069.37958696966	1811.60738024336	2768.03297355415	543.965119206562	853.722854758276	1820.95311939855	2857.55921042419	1419.17643359165	703.083585228977	795.000862179093	779.612704526277	3024.08522314716	2753.75664770138	3020.8122516771	796.149793403047	656.046623737028	2687.38947448163	1790.80486533134	3511.81713256421	1726.89154745494	743.093463027307	3046.94974080666	782.455331238588	2784.66106046548	1967.42042795194	3515.9741804272	3031.25951491196	756.170116672992	3118.45423658825	2678.41598863426	698.06844886833	1803.00553039548	1026.27284931151	2672.30628788537	2874.74807590127	3385.86891160166	2447.93173295617	570.807641920235	1405.80965472365	798.103622384226	744.353553804504	3922.90477852868	715.01141317844	716.371030456172
