cell_type,MK-1,MK-10,MK-11,MK-12,MK-13,MK-14,MK-15,MK-16,MK-17,MK-18,MK-19,MK-20,MK-21,MK-22,MK-23,MK-24,MK-25,MK-26,MK-27,MK-28,MK-29,MK-3,MK-30,MK-31,MK-32,MK-33,MK-34,MK-35,MK-36,MK-37,MK-39,MK-4,MK-40,MK-41,MK-42,MK-43,MK-45,MK-46,MK-47,MK-48,MK-49,MK-5,MK-50,MK-51,MK-52,MK-53,MK-54,MK-55,MK-6,MK-7,MK-8,MK-9,MK-A,MK-B-0002,MK-B-0003,MK-B-0004,MK-B-0005,MK-B-0007,MK-B-0008,MK-B-0012,MK-B-0019,MK-B-0021,MK-B-0022,MK-B-0024,MK-B-013,MK-B-014,MK-B-016,MK-B-018,MK-B,MK-B6A,MK-B6C,MK-EOG-001,MK-EOG-004,MK-EOG-005,MK-EOG-009,MK-EOG-012,MK-EOG-015
T cell CD4+ (non-regulatory)_QUANTISEQ,4.83469580393723e-05,0.000169910255913158,0.0073259195196651,0,0,0,0.000681515495287573,0,0.0096106101706028,0,0,0,0,0,0,0,0.0072550770075104,0,0,0,0,0,0,0,0,0,0.0473134469921241,0,0,0,0,0,0,0,0.00761867107449504,0,0,0,0,0,0.0670188376647752,0,0,0.0146871327297108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00141637293249105,0.00350340301079196,0,0.000571324882577648,0,0.0444284873306697,0,0,0
T cell CD8+_QUANTISEQ,0.0054331978122526,0.00280509365576483,0.0182189237352133,0.000283024626548753,0,0.0115450780374702,0.00214019311228931,0.0219873195188751,0.0498740655646055,0.00712001537913161,0,0.000614664495045007,0.000454528943091903,0,0.0385074215960494,0,0.00310826173002923,0,0,9.26548766616427e-05,0,0,0,0,0,0,0.0717555234171925,0,0.00405368283365731,0.00188692036535683,0,0.0115134177348986,0.013844956812456,0.00360048753485927,0,0.0103232569341464,0.0116815767155401,0.00497150477581646,0.00194797122805621,0.00310411975980356,0.0491050887127297,0,3.61854294909013e-05,0.00952169146599042,0,0.00591562158037465,0,0,0.0134988834376595,0.00244243365492493,0.0219292860360946,0.000648303486124254,0.000260698661853005,0.00194994277419644,0,0,0.00287881749571676,0,0.000300480906248635,0.000894331819966769,0.0331133893409422,0.00197697239418614,0.00714917962278687,0.000551074735786956,0.000233911749212426,0.00637073737542733,0.00988842834387487,0.00254495164079344,0.00214626600738273,0.0314183583576165,0.000778301651965411,0.00255896257827406,0.000648489561576004,0.0663709222099347,0,0.00616711220410322,0.00248659061107742
T cell regulatory (Tregs)_QUANTISEQ,0.039317389227219,0.0201345836322805,0.0326711283629514,0.00735122202084885,0.00758634669248498,0.0718813849766771,0.0302614061694652,0.0790665791220189,0.14938884861803,0.017441384712529,0.00915122109072733,0.0103661491897234,0.00135207613589149,0.0165170270694497,0.0930594883581665,0.00920118245063081,0.0242577000706394,0.00892966541770002,0.013799099945923,0.0153639328274652,0.00909227629496,0.00869866753980338,0.00883077760801638,0.00242542734657261,0.00869176634431136,0.000257715995653801,0.0977410586317241,0.0111640272392762,0.016347732242054,0.0391948186950621,0.0104121472259692,0.0477557127264057,0.0574481417836928,0.0269393907605016,0.005551925878152,0.0152592646166433,0.0663844600867382,0.0241381034425902,0.0461202449528617,0.0162706200958476,0.127549713018953,0.0154734576276029,0.0116531289517821,0.0231595832141745,0.00399586647925733,0.0204004018441152,0.0339922847895977,0.00663570668543321,0.0566571999284807,0.00902185476857517,0.0800669853075579,0.0151125859821609,0.02903021002874,0.00832608241742203,0.0107072175411231,0.0050562576627412,0.0122835129377523,0.0155923576952185,0.0114569569054011,0.00838824208641278,0.0637143133662054,0.00873057901945094,0.0389092740816477,0.0237790618765645,0.0279740904675498,0.0265727628242896,0.0443271036661614,0.0195192416270736,0.0128398372746642,0.0888822962998997,0.0032264741156466,0.0206350656641369,0.0107667690257552,0.119859194990736,0.00509683758237004,0.0154503346779376,0.00853606794074831
Myeloid dendritic cell_QUANTISEQ,0.0154629394708696,0.0240848858492307,0.0180397993670875,0.0193657476775413,0.0200063661131146,0.0145329574288357,0,0.00433290418313832,0.01394705287945,0.00685798419777921,0.0152928627553141,0.0246204477111054,0.000177057674596867,0.0281321899366635,0.0145179710002171,0.0181462380563824,0.0205912421045386,0.0231150040305703,0.0165020029969619,0.012895179970905,0.0238439252789463,0.0175945491082645,0.0274940682321789,0.000191648749288406,0.0112307029640476,0.000129880628524723,0.0150727391016434,0.027046423236562,0.0125422686102663,0.0137127685361683,0.0219080493314315,0.0155029056150168,0.0112337611630539,0.0278836830909786,0.00256095531041401,0.0149481648732677,0.0108770966233712,0.0109427216857016,0.0214769983449385,0.0168266593742441,0.0134436225506533,0.00187324980653153,0.0217630182996926,0.0147041381217849,0.0128203308394936,0.0180244428728134,0.0161017610513384,0.00586223052192248,0.0345203391474583,0.0156836051780074,0.0217379197525494,0.0215922781921191,0.0225370077951357,0.0100479296083029,0.0156552211886874,0.0106481297457453,0.0162378536722862,0.0150012077905356,0.0312786934178886,0.0188754493472881,0.000294689718856329,0.0207841201765918,0.00391433236382729,0.00407828847531152,0.000472283614070647,0.0105671594901653,0.011935248163906,0.013530886000993,0.0103075544593258,0.0105433027213877,0.00101210837325886,0.0129160128872614,0.00641323655723918,0.00873786169553518,0.0123277473702313,0.0075980337493266,0.0112674730304928
uncharacterized cell_QUANTISEQ,0.851691014956552,0.883356434168563,0.846099094590685,0.90693099186786,0.902885976343155,0.806702122845265,0.846673642894925,0.814243302421515,0.676735363843749,0.906412320992118,0.923507451496449,0.905160120615278,0.996807442036433,0.857634715672014,0.742530757987896,0.899532979540141,0.852563062847633,0.905511463530844,0.899160435398266,0.890140223864717,0.881869354577158,0.901604526962655,0.892125293483012,0.974062133319478,0.907649275036731,0.997525545681634,0.651851667520426,0.881585469606875,0.881724142877049,0.866936317856989,0.880787549571421,0.846927612320831,0.812311816122894,0.831982797802797,0.895297665928713,0.893688418590688,0.814689607440894,0.874046481419174,0.850507419821581,0.877979945795469,0.647452173864698,0.886105238009417,0.889825141555965,0.861902989746015,0.916221021365087,0.871839087134214,0.83494126137846,0.920363705346942,0.803836337938656,0.912197296008429,0.788587687119477,0.888857915782128,0.861128919052088,0.918493640438068,0.902855064775576,0.890692353975513,0.89652312606556,0.860335407094555,0.865728191082957,0.90117288384278,0.749773115608012,0.900822829404228,0.842290550717454,0.878107870921104,0.872384086693463,0.824581894145002,0.857215903724104,0.87631189818507,0.767203830024267,0.743732340355976,0.98691805477177,0.877112560884413,0.899195865468688,0.620296271992969,0.898632127162873,0.91569548614107,0.915337193309367
Myeloid dendritic cell activated_XCELL,0.12816843497571,0.435723823332307,0.599434728798883,0.00533424196436616,0,0.538949753894389,0.437477646049229,0.690250215456843,0.842664404120337,0.262103313660249,0,0.0377775137565841,1.00029912081404,0.000347372651732547,0.935144006153061,0,0.266560540421678,0.0224445538991602,0.0855688436474488,0.0678035051930102,0.0481960904165975,0.0471713475429813,0.0499744763548851,0.0571065935738369,0.00731983007375208,0,0.815403737702151,0.00588167745408588,0.34290748003863,0.248075494475592,9.71896640284228e-18,0.666897179296069,0.620175229323017,0.226532415301648,3.55211484599409e-18,0.0588555897401328,0.40065601160294,0.252887987609778,0.348797955270779,0.09078961940585,0.637446716452698,0.183213569552556,3.99953002594979e-19,0.334941940549907,6.51607137517688e-18,0.0400612233203663,0.37401166524076,1.71218329600715e-18,0.595367734610725,0.0233675495684786,0.647446732852513,0.226895901716324,0.315858813948837,0.136249586363334,0.00324963295052815,0.0484378392386447,0.136900956850242,0.311844216263342,0.0277467730880384,0.0120057666398425,0.339315615095387,0.015467352493335,0.492698700087844,0.611065872219656,0.829678513044256,0.288120904704364,0.639614405260709,0.320258055812103,0.4724692908438,0.665965348025759,0.242211873171293,0.0956314891674916,0.0393027760325794,0.864053304199174,0.00321998823423337,0.296139726168441,0.0248535384297419
B cell_XCELL,0,0.00586957518455426,0.0290302494809073,1.13558391205525e-17,2.56176595722333e-17,0,0.442407467573931,0.166695838978126,0.283393921721474,0.0298277364239098,0,2.46139141222918e-18,0.257555647060998,0,0.0897020617194523,0,0,0,0,3.6757759667769e-20,1.38892589603273e-18,6.81731409371423e-18,0,0.00312470257116148,0,1.09516905455577e-18,0.0477478113094029,1.14467118838067e-19,0.00509247989437983,0,0,0.18749987154737,0.0980017359746289,0,0,0.00341226636999091,0.10573003199132,0.0417912028688835,0.0310457227990075,0,0.157727640857666,0.0246151422050697,4.39109914812145e-18,0.0582701080803479,0,0,0.0418249291429041,2.90542814519866e-20,0.0316163094444468,2.4572174473465e-18,0.0469771067672429,3.71827366462651e-18,0,0.00620328661758939,0,3.14128236626294e-18,0,0,4.08250552206573e-18,4.20663577312866e-19,0.138106359307157,0,0.101183332220992,0.202633442229035,0.137312317881644,1.81055354922341e-18,0.0888760826601184,8.86268686105638e-18,6.56711906085558e-19,0.209345852406814,0.367735515190485,0.0214920257321226,6.01326772081727e-18,0.382941329269286,0,0.00205834656614848,0
T cell CD4+ memory_XCELL,0.042235085021987,0.0443299202645968,0.0790069152745058,0,5.01772414064759e-20,0.060451585690759,0.0943620688271154,0.20853392300241,0.324273303136766,0.0401168747781781,0,0.0018315445489893,0.0204286486805125,3.51693312456785e-18,0.159525563018344,0,0.0192868886372506,0.0104223882499732,0.0104859935401162,0.0129402664298918,0,0,0,0.00341024442933314,0,0,0.256228012128223,1.40330051669336e-19,0.0117901256039701,0.0373494315192566,0,0.139285243877812,0.109521550128827,0.00988488520232734,0,0.0204112461230082,0.109205559874965,0.0190321625350312,0.0418857336383264,0.00743102554590644,0.262074842584078,0.0174264714055598,0,0.00922921346711071,5.08344283409121e-18,0.00646881272347808,0.0173002206470291,0.002195276765724,0.0761164343275229,0.00974792548585671,0.129588904729504,0,0.00879397781708822,0.00953558852742105,3.43194809299912e-19,0,0.00583657435355639,0.000427966428484856,2.22614891287376e-18,0.00207175023326242,0.0887632796308301,0.00166868751453294,0.0471203705581046,0.0695885143801783,0.0695878392571703,0.0222866786734204,0.0784411165206744,0.0149969800140305,3.94109026288542e-19,0.165362646362579,0.0881805157507681,0.0495018930632592,2.47532194599651e-19,0.304233479367588,0,0.025293557834582,0.0052387032029417
T cell CD4+ naive_XCELL,0.013952562662114,1.32445650827938e-18,0.00391816658337625,7.83622057979767e-18,4.62439049490889e-18,0,0.10484311931393,0.0255325190708377,0.168983986288396,0,3.21057590065337e-18,0,0.0363734378734553,3.71463199151107e-19,0.0444314729758193,4.71038697306428e-18,0,0,3.53013796552456e-19,0,9.25033379871714e-18,0,0,8.41554942817323e-20,0,8.75317518376523e-18,0.0851052941967962,2.63015622959453e-18,0,0.00384161776924216,1.61010966186228e-18,0.0134258224955995,4.70996326801734e-19,7.51149682386721e-20,0,3.77846352240852e-18,0.0863389420470021,1.58274569339487e-19,0.0185147218719122,0,0.230148362240176,4.3494483853844e-19,4.73034538846282e-18,0.0484162664984894,6.17317721970552e-20,0,8.06205712585564e-18,1.23214294722911e-19,7.48990639786968e-20,0,0.0509669041190137,3.65694466828313e-19,0,0,0,1.80738648479559e-18,1.45832093952099e-18,0,0,0,0.0176435668903287,0,0,0.0131345574438062,0.00629556913338843,1.62254897038276e-18,0.00131135011902115,0,0,0.112580056940651,0.00289290564444357,0,9.60082696091191e-19,0.192913761696897,1.75077419019448e-17,2.15568326892376e-18,1.01975240418143e-19
T cell CD4+ (non-regulatory)_XCELL,0,0,0.000563993235695626,9.91603673071352e-18,8.12810766725813e-18,0.000982395905300796,0.0292110252321634,0.0497055370616194,0.124625929906773,8.11195208743152e-20,0,1.9051346708597e-18,0,1.20483022722982e-18,0.05376020849754,0,7.14218994518801e-18,3.71081862129703e-18,1.68350119065356e-18,1.33844569629527e-18,5.37759368877414e-21,6.12664209551536e-19,2.07770201722492e-17,2.11714104591263e-19,3.70836987010894e-18,0,0.0819241399641391,1.4791489950704e-17,0,0,0,0.0299722814333866,0.0235381273891726,0,5.19852612096356e-18,2.64213944262748e-18,0.0491756217121395,1.81584044854187e-18,0.00809069349642929,0,0.122083949080806,0,0,0,1.51876468559866e-17,0,1.3137604949168e-19,0,2.79658720092032e-21,2.73503544518792e-18,0.0182812974963753,1.27365307249449e-17,0,5.64409852638756e-18,0,4.72396428352225e-18,0,0,0,0,0.00166333191994284,0,0,0.00154196918293418,1.96320089018779e-18,3.73954716511403e-18,0.0112785630869415,0,0,0.0524389024571983,8.72538011418007e-19,0,3.92625425389127e-18,0.120914684349292,0,5.47496337686104e-18,1.00372969592901e-17
T cell CD4+ central memory_XCELL,0.00138760347838183,0,0,2.80307404018648e-18,0,0,7.37073717667462e-18,0,0.00646019825643468,0,4.83752548228487e-18,3.27367639781402e-18,0.0569834003008777,0,1.72473252421432e-18,0,5.42043643068254e-19,0,1.11039693334529e-17,1.24946418751978e-17,2.45591883694265e-17,5.2032741925487e-18,6.66346400639121e-18,2.99315816706196e-19,3.01427661875961e-18,0,0,0,2.38835407987263e-20,0,6.94371037763741e-19,5.42688181022247e-18,0,1.73279337856593e-19,0,0,0.017909399942083,0,4.28412645462257e-20,0,0.0053135524770677,0,1.70574878491897e-18,4.83076686538545e-19,0.00678601479012297,0,1.22868672347296e-17,0,0,0,2.37616537622775e-18,1.5463357413874e-17,3.30872077996214e-20,0,6.6141205154166e-18,1.55745177267033e-18,1.11681934053103e-18,0,0,0,4.98392799461469e-18,0,1.08644019313242e-17,0,0,0,5.88686218578173e-18,3.86255454952912e-18,2.54207995637147e-17,0,0,1.73803497256985e-18,0,0,0,3.1813000555335e-19,0
T cell CD4+ effector memory_XCELL,0.00541051222373154,0.0262336897246624,0.0300420082526164,0,6.87024102026502e-18,0,0.0696588474703633,0.0311312339174233,0.158540857647822,0.054381475689946,3.73810279041144e-19,8.64936359532465e-20,0.00152058333120844,4.61211776245951e-17,0.132912352544553,3.7506270109187e-18,0.0489840014036574,0,1.81522568053736e-18,8.26908667134769e-18,4.95077314745764e-18,0,0,0.0191695792536963,0.00823417408426688,0.0570122028671558,0.110570714442763,4.3957424995975e-18,0.0498745569560978,0.0502208688911327,3.35022606925121e-18,0.125643260207914,0.0526684885609512,0,0.00475465368413849,0.01677308515405,0.0945178808371006,0.0391309354577821,0.0282054212650849,0,0.108550237995341,0.000633924025045221,5.84968274095142e-18,0.0366706926860761,0.000513993723999992,0,0,0.0183563551547365,0.0383952656600399,0,0.0342109253433004,1.10390881212032e-17,0.00145577896169326,0.0184763074475854,4.67726221396923e-18,0,0,7.34050334131852e-19,0,0,0.00357301402371929,0,0.0165482264528219,0.0922218977339839,0.0934637829549261,3.62020749574783e-18,0.0529369429078067,5.84917432419021e-19,0,0.0548028421841854,0.188304696714449,0.0392794863665257,0,0.140695413496868,0,0.057932259268788,0
